Device		users		subnet		start		broadcast		net mask
sw-10		180		/24		172.16.0.0	172.16.0.255		255.255.255.0
sw-04		150		/24		172.16.1.0	172.16.1.255		255.255.255.0
SW-09		90		/25		172.16.2.0	172.16.2.127		255.255.255.128
SW-12		90 		/25		172.16.2.128	172.16.2.255		255.255.255.128
SW-05		70		/25		172.16.3.0	172.16.3.127		255.255.255.128
SW-01		50		/26		172.16.3.128	172.16.3.191		255.255.255.191
SW-08		30		/27		172.16.3.192	172.16.3.223		255.255.255.224
CCNA		30		/27		172.16.3.224	172.16.3.255		255.255.255.224
CCNP		20		/27		172.16.4.0	172.16.4.31		255.255.255.224
SW-07		20		/27		172.16.4.32	172.16.4.63		255.255.255.224
ServerSeg	20		/27		172.16.4.64	172.16.4.95		255.255.255.224
SW-02		20		/27		172.16.4.96	172.16.4.127		255.255.255.224
SW-11		15		/27		172.15.4.128	172.16.4.159		255.255.255.224
WRT300N		10		/28		172.16.4.160	172.16.4.175		255.255.255.240
CCIE		10		/28		172.16.4.176	172.16.4.191		255.255.255.240
AdminSeg	10		/28		172.16.4.192	172.16.4.207		255.255.255.240

R1-R2		2		/30		172.16.4.208	172.16.4.211		255.255.255.252
R2-R3		2		/30		172.16.4.212	172.16.4.215		255.255.255.252
R2-R4		2		/30		172.16.4.216	172.16.4.219		255.255.255.252
R4-R6		2		/30		172.16.4.220	172.16.4.223		255.255.255.252
R4-R7		2		/30		172.16.4.224	172.16.4.227		255.255.255.252
R4-BR		2		/30		172.16.4.228	172.16.4.231		255.255.255.252
R7-R8		2		/30		172.16.4.232	172.16.4.245		255.255.255.252
